Host family,Host genus,Species,Conservation Status,Parasite type,Type Parasite Detailled,EEO,Parasite Family,Parasite genus,Parasite species,Host,region,reference,Sample from
Indriidae,Propithecus,candidus,CR,protozoa,protozoan,3464,Cryptosporidiidae,Cryptosporidium,sp.,Propithecus_candidus,,"Loudon, J. E., Patel, E. R., Faulkner, C., Schopler, R., Kramer, R. A., Williams, C. V., & Herrera, J. P. (2017). 8 An Ethnoprimatological Assessment of Human Impact on the Parasite Ecology of Silky Sifaka (Propithecus candidus). Ethnoprimatology: A Practical Guide to Research at the Human-Nonhuman Primate Interface, 76, 89.",
Indriidae,Indri,indri,CR,protozoa,protozoan,61794,Cryptosporidiidae,Cryptosporidium,sp.,Indri_indri,Betampona,"Junge, R. E., Barrett, M. A., & Yoder, A. D. (2011). Effects of anthropogenic disturbance on indri (Indri indri) health in Madagascar. American Journal of Primatology, 73(7), 632-642.",
Indriidae,Indri,indri,CR,protozoa,protozoan,61794,Cryptosporidiidae,Cryptosporidium,sp.,Indri_indri,Betampona,"Junge, R. E., Barrett, M. A., & Yoder, A. D. (2011). Effects of anthropogenic disturbance on indri (Indri indri) health in Madagascar. American Journal of Primatology, 73(7), 632-642.",
Indriidae,Propithecus,edwardsi,EN,protozoa,protozoan,1543,Entamoebidae,Entamoeba,histolytica,Propithecus_edwardsi,,"Ragazzo, L. J., Zohdy, S., Velonabison, M., Herrera, J., Wright, P. C., & Gillespie, T. R. (2018). Entamoeba histolytica infection in wild lemurs associated with proximity to humans. Veterinary parasitology, 249, 98-101.",
Lemuridae,Hapalemur ,aureus,CR,protozoa,protozoan,4385,Entamoebidae,Entamoeba,histolytica,Hapalemur _aureus,,"Ragazzo, L. J., Zohdy, S., Velonabison, M., Herrera, J., Wright, P. C., & Gillespie, T. R. (2018). Entamoeba histolytica infection in wild lemurs associated with proximity to humans. Veterinary parasitology, 249, 98-101.",
Lemuridae,Prolemur,simus,CR,protozoa,protozoan,30552,Entamoebidae,Entamoeba,histolytica,Prolemur_simus,,"Ragazzo, L. J., Zohdy, S., Velonabison, M., Herrera, J., Wright, P. C., & Gillespie, T. R. (2018). Entamoeba histolytica infection in wild lemurs associated with proximity to humans. Veterinary parasitology, 249, 98-101.",
Lemuridae,Eulemur ,rufifrons,VU,protozoa,protozoan,138438,Entamoebidae,Entamoeba,histolytica,Eulemur _fulvus_rufus,,"Ragazzo, L. J., Zohdy, S., Velonabison, M., Herrera, J., Wright, P. C., & Gillespie, T. R. (2018). Entamoeba histolytica infection in wild lemurs associated with proximity to humans. Veterinary parasitology, 249, 98-101.",
Lemuridae,Eulemur,rubriventer,VU,protozoa,protozoan,142826,Entamoebidae,Entamoeba,histolytica,Eulemur_rubriventer,,"Ragazzo, L. J., Zohdy, S., Velonabison, M., Herrera, J., Wright, P. C., & Gillespie, T. R. (2018). Entamoeba histolytica infection in wild lemurs associated with proximity to humans. Veterinary parasitology, 249, 98-101.",
Cheirogaleidae,Microcebus,rufus,VU,protozoa,protozoan,5192,Entamoebidae,Entamoeba,histolytica,Microcebus_rufus,,"Ragazzo, L. J., Zohdy, S., Velonabison, M., Herrera, J., Wright, P. C., & Gillespie, T. R. (2018). Entamoeba histolytica infection in wild lemurs associated with proximity to humans. Veterinary parasitology, 249, 98-101.",
Lemuridae,Varecia,variegata,CR,protozoa,protozoan,99202,Entamoebidae,Entamoeba,histolytica,Varecia_variegata_variegata,,"Ragazzo, L. J., Zohdy, S., Velonabison, M., Herrera, J., Wright, P. C., & Gillespie, T. R. (2018). Entamoeba histolytica infection in wild lemurs associated with proximity to humans. Veterinary parasitology, 249, 98-101.",
Indriidae,Propithecus,verreauxi,CR,helminth,nematode,131892,Entamoebidae,Enterobius,sp.,Propithecus_verreauxi,Bezaha Mahafaly,"Raveloarisoa, A. (2000). Contribution à l'étude De la préférence alimentaire du Propithecus verreauxi verreauxi de la RS de Beza Mahafaly (Parcelle I). Mémoire de DEA, Sciences Biologie Appliquées. Faculté des Sciences, Université d'Antananarivo.",
